lag_hours,r,n,series_a,series_b
-48.0,0.1689,363,Kamand_depth,North_depth
-47.0,0.1564,364,Kamand_depth,North_depth
-46.0,0.1492,365,Kamand_depth,North_depth
-45.0,0.1449,366,Kamand_depth,North_depth
-44.0,0.1516,367,Kamand_depth,North_depth
-43.0,0.1557,368,Kamand_depth,North_depth
-42.0,0.1594,369,Kamand_depth,North_depth
-41.0,0.1721,370,Kamand_depth,North_depth
-40.0,0.1835,371,Kamand_depth,North_depth
-39.0,0.1939,372,Kamand_depth,North_depth
-38.0,0.2056,373,Kamand_depth,North_depth
-37.0,0.2134,374,Kamand_depth,North_depth
-36.0,0.2191,375,Kamand_depth,North_depth
-35.0,0.2122,376,Kamand_depth,North_depth
-34.0,0.2063,377,Kamand_depth,North_depth
-33.0,0.1969,378,Kamand_depth,North_depth
-32.0,0.1896,379,Kamand_depth,North_depth
-31.0,0.1876,380,Kamand_depth,North_depth
-30.0,0.1871,381,Kamand_depth,North_depth
-29.0,0.1916,382,Kamand_depth,North_depth
-28.0,0.2003,383,Kamand_depth,North_depth
-27.0,0.2112,384,Kamand_depth,North_depth
-26.0,0.2248,385,Kamand_depth,North_depth
-25.0,0.2328,386,Kamand_depth,North_depth
-24.0,0.2432,387,Kamand_depth,North_depth
-23.0,0.2514,388,Kamand_depth,North_depth
-22.0,0.2632,389,Kamand_depth,North_depth
-21.0,0.28,390,Kamand_depth,North_depth
-20.0,0.2857,391,Kamand_depth,North_depth
-19.0,0.2857,392,Kamand_depth,North_depth
-18.0,0.2893,393,Kamand_depth,North_depth
-17.0,0.2953,394,Kamand_depth,North_depth
-16.0,0.3009,395,Kamand_depth,North_depth
-15.0,0.3025,396,Kamand_depth,North_depth
-14.0,0.3081,397,Kamand_depth,North_depth
-13.0,0.3107,398,Kamand_depth,North_depth
-12.0,0.3143,399,Kamand_depth,North_depth
-11.0,0.3223,400,Kamand_depth,North_depth
-10.0,0.3301,401,Kamand_depth,North_depth
-9.0,0.3349,402,Kamand_depth,North_depth
-8.0,0.3425,403,Kamand_depth,North_depth
-7.0,0.3504,404,Kamand_depth,North_depth
-6.0,0.3616,405,Kamand_depth,North_depth
-5.0,0.3695,406,Kamand_depth,North_depth
-4.0,0.3843,407,Kamand_depth,North_depth
-3.0,0.3955,408,Kamand_depth,North_depth
-2.0,0.4079,409,Kamand_depth,North_depth
-1.0,0.421,410,Kamand_depth,North_depth
0.0,0.4284,411,Kamand_depth,North_depth
1.0,0.4175,410,Kamand_depth,North_depth
2.0,0.4055,409,Kamand_depth,North_depth
3.0,0.3912,408,Kamand_depth,North_depth
4.0,0.3754,407,Kamand_depth,North_depth
5.0,0.3609,406,Kamand_depth,North_depth
6.0,0.3372,405,Kamand_depth,North_depth
7.0,0.3172,404,Kamand_depth,North_depth
8.0,0.295,403,Kamand_depth,North_depth
9.0,0.2752,402,Kamand_depth,North_depth
10.0,0.2728,401,Kamand_depth,North_depth
11.0,0.2704,400,Kamand_depth,North_depth
12.0,0.268,399,Kamand_depth,North_depth
13.0,0.2676,398,Kamand_depth,North_depth
14.0,0.264,397,Kamand_depth,North_depth
15.0,0.2657,396,Kamand_depth,North_depth
16.0,0.2685,395,Kamand_depth,North_depth
17.0,0.2664,394,Kamand_depth,North_depth
18.0,0.2602,393,Kamand_depth,North_depth
19.0,0.2555,392,Kamand_depth,North_depth
20.0,0.2529,391,Kamand_depth,North_depth
21.0,0.2509,390,Kamand_depth,North_depth
22.0,0.2436,389,Kamand_depth,North_depth
23.0,0.2366,388,Kamand_depth,North_depth
24.0,0.2276,387,Kamand_depth,North_depth
25.0,0.2198,386,Kamand_depth,North_depth
26.0,0.2047,385,Kamand_depth,North_depth
27.0,0.1962,384,Kamand_depth,North_depth
28.0,0.189,383,Kamand_depth,North_depth
29.0,0.1806,382,Kamand_depth,North_depth
30.0,0.1862,381,Kamand_depth,North_depth
31.0,0.185,380,Kamand_depth,North_depth
32.0,0.1864,379,Kamand_depth,North_depth
33.0,0.1901,378,Kamand_depth,North_depth
34.0,0.1995,377,Kamand_depth,North_depth
35.0,0.2196,376,Kamand_depth,North_depth
36.0,0.2502,375,Kamand_depth,North_depth
37.0,0.2674,374,Kamand_depth,North_depth
38.0,0.2776,373,Kamand_depth,North_depth
39.0,0.2859,372,Kamand_depth,North_depth
40.0,0.294,371,Kamand_depth,North_depth
41.0,0.3004,370,Kamand_depth,North_depth
42.0,0.3015,369,Kamand_depth,North_depth
43.0,0.2946,368,Kamand_depth,North_depth
44.0,0.287,367,Kamand_depth,North_depth
45.0,0.2843,366,Kamand_depth,North_depth
46.0,0.2849,365,Kamand_depth,North_depth
47.0,0.2902,364,Kamand_depth,North_depth
48.0,0.2964,363,Kamand_depth,North_depth
-48.0,0.4672,564,Kamand_velocity,North_depth
-47.0,0.4735,565,Kamand_velocity,North_depth
-46.0,0.4788,566,Kamand_velocity,North_depth
-45.0,0.4876,567,Kamand_velocity,North_depth
-44.0,0.4964,568,Kamand_velocity,North_depth
-43.0,0.5042,569,Kamand_velocity,North_depth
-42.0,0.5089,570,Kamand_velocity,North_depth
-41.0,0.5137,571,Kamand_velocity,North_depth
-40.0,0.5185,572,Kamand_velocity,North_depth
-39.0,0.5253,573,Kamand_velocity,North_depth
-38.0,0.5315,574,Kamand_velocity,North_depth
-37.0,0.535,575,Kamand_velocity,North_depth
-36.0,0.5373,576,Kamand_velocity,North_depth
-35.0,0.5364,577,Kamand_velocity,North_depth
-34.0,0.5386,578,Kamand_velocity,North_depth
-33.0,0.5438,579,Kamand_velocity,North_depth
-32.0,0.5497,580,Kamand_velocity,North_depth
-31.0,0.556,581,Kamand_velocity,North_depth
-30.0,0.5599,582,Kamand_velocity,North_depth
-29.0,0.5648,583,Kamand_velocity,North_depth
-28.0,0.5686,584,Kamand_velocity,North_depth
-27.0,0.5733,585,Kamand_velocity,North_depth
-26.0,0.5789,586,Kamand_velocity,North_depth
-25.0,0.5843,587,Kamand_velocity,North_depth
-24.0,0.5907,588,Kamand_velocity,North_depth
-23.0,0.5969,589,Kamand_velocity,North_depth
-22.0,0.6032,590,Kamand_velocity,North_depth
-21.0,0.6077,591,Kamand_velocity,North_depth
-20.0,0.6095,592,Kamand_velocity,North_depth
-19.0,0.6129,593,Kamand_velocity,North_depth
-18.0,0.6164,594,Kamand_velocity,North_depth
-17.0,0.617,595,Kamand_velocity,North_depth
-16.0,0.6146,596,Kamand_velocity,North_depth
-15.0,0.6148,597,Kamand_velocity,North_depth
-14.0,0.616,598,Kamand_velocity,North_depth
-13.0,0.6157,599,Kamand_velocity,North_depth
-12.0,0.6167,600,Kamand_velocity,North_depth
-11.0,0.6182,601,Kamand_velocity,North_depth
-10.0,0.6203,602,Kamand_velocity,North_depth
-9.0,0.6224,603,Kamand_velocity,North_depth
-8.0,0.6239,604,Kamand_velocity,North_depth
-7.0,0.6261,605,Kamand_velocity,North_depth
-6.0,0.6267,606,Kamand_velocity,North_depth
-5.0,0.6241,607,Kamand_velocity,North_depth
-4.0,0.6238,608,Kamand_velocity,North_depth
-3.0,0.6249,609,Kamand_velocity,North_depth
-2.0,0.6231,610,Kamand_velocity,North_depth
-1.0,0.6233,611,Kamand_velocity,North_depth
0.0,0.6249,612,Kamand_velocity,North_depth
1.0,0.6172,611,Kamand_velocity,North_depth
2.0,0.6096,610,Kamand_velocity,North_depth
3.0,0.6036,609,Kamand_velocity,North_depth
4.0,0.5992,608,Kamand_velocity,North_depth
5.0,0.5948,607,Kamand_velocity,North_depth
6.0,0.589,606,Kamand_velocity,North_depth
7.0,0.5868,605,Kamand_velocity,North_depth
8.0,0.5851,604,Kamand_velocity,North_depth
9.0,0.5809,603,Kamand_velocity,North_depth
10.0,0.5765,602,Kamand_velocity,North_depth
11.0,0.5739,601,Kamand_velocity,North_depth
12.0,0.5674,600,Kamand_velocity,North_depth
13.0,0.5636,599,Kamand_velocity,North_depth
14.0,0.5534,598,Kamand_velocity,North_depth
15.0,0.5448,597,Kamand_velocity,North_depth
16.0,0.5327,596,Kamand_velocity,North_depth
17.0,0.5211,595,Kamand_velocity,North_depth
18.0,0.5145,594,Kamand_velocity,North_depth
19.0,0.5066,593,Kamand_velocity,North_depth
20.0,0.4988,592,Kamand_velocity,North_depth
21.0,0.4869,591,Kamand_velocity,North_depth
22.0,0.4796,590,Kamand_velocity,North_depth
23.0,0.4723,589,Kamand_velocity,North_depth
24.0,0.4727,588,Kamand_velocity,North_depth
25.0,0.4736,587,Kamand_velocity,North_depth
26.0,0.4695,586,Kamand_velocity,North_depth
27.0,0.4586,585,Kamand_velocity,North_depth
28.0,0.4407,584,Kamand_velocity,North_depth
29.0,0.4318,583,Kamand_velocity,North_depth
30.0,0.4268,582,Kamand_velocity,North_depth
31.0,0.4195,581,Kamand_velocity,North_depth
32.0,0.4077,580,Kamand_velocity,North_depth
