site,parameter,regime,event_start,peak_time,event_end,duration_h,rising_limb_h,recession_h,start_level,peak_level,amplitude,max_rise_rate_per_h,mean_rise_rate_per_h,pct_interpolated,contains_gap,confirmed_by_human
Kamand,depth,K_depth_A,2025-08-25 16:30:00,2025-08-25 17:15:00,2025-08-25 17:30:00,1.0,0.75,0.25,2.9271,3.1295,0.2024,0.8313,0.2699,0.0,False,
Kamand,depth,K_depth_A,2025-08-26 07:45:00,2025-08-26 08:30:00,2025-08-26 09:00:00,1.25,0.75,0.5,2.6821,3.1523,0.4702,1.0246,0.6269,0.0,False,
Kamand,velocity,Kamand_velocity,2025-07-30 10:30:00,2025-07-30 11:00:00,2025-07-30 13:45:00,3.25,0.5,2.75,7.924,8.675,0.751,8.3175,1.502,0.0,False,
Kamand,velocity,Kamand_velocity,2025-08-01 10:15:00,2025-08-01 10:45:00,2025-08-01 12:45:00,2.5,0.5,2.0,4.0378,7.836,3.7982,9.0797,7.5964,0.0,False,
Kamand,velocity,Kamand_velocity,2025-08-20 07:30:00,2025-08-20 07:45:00,2025-08-20 12:15:00,4.75,0.25,4.5,8.2546,8.2718,0.0172,5.9579,0.0689,0.0,False,
Kamand,velocity,Kamand_velocity,2025-08-25 11:15:00,2025-08-25 12:00:00,2025-08-25 12:15:00,1.0,0.75,0.25,6.2283,8.5387,2.3103,12.3806,3.0804,0.0,False,
North,depth,N_depth_main,2025-08-19 16:00:00,2025-08-19 21:00:00,2025-08-19 22:15:00,6.25,0.25,0.75,-7.9449,-7.4514,0.4935,1.9522,1.9522,0.0,False,
North,depth,N_depth_main,2025-08-20 22:00:00,2025-08-20 22:15:00,2025-08-20 23:45:00,1.75,0.25,1.5,-7.7921,-7.7359,0.0563,0.4119,0.225,0.0,False,
North,depth,N_depth_main,2025-08-25 02:45:00,2025-08-25 03:00:00,2025-08-25 04:30:00,1.75,0.25,1.5,-7.8124,-7.6487,0.1638,0.6551,0.6551,0.0,False,
North,depth,N_depth_main,2025-08-28 02:15:00,2025-08-28 03:00:00,2025-08-28 04:30:00,2.25,0.75,1.5,-7.907,-7.247,0.66,1.3947,0.88,0.0,False,
North,depth,N_depth_main,2025-08-29 00:45:00,2025-08-29 01:30:00,2025-08-29 05:45:00,5.0,0.75,1.5,-7.5438,-6.9788,0.565,0.9899,0.7533,0.0,False,
North,depth,N_depth_main,2025-08-29 20:30:00,2025-08-29 21:00:00,2025-08-29 22:30:00,2.0,0.5,1.5,-7.7296,-7.5265,0.203,0.626,0.4061,0.0,False,
North,depth,N_depth_main,2025-09-11 01:00:00,2025-09-11 01:30:00,2025-09-11 02:00:00,1.0,0.5,0.5,-8.1388,-7.7762,0.3625,1.2253,0.7251,0.0,False,
North,depth,N_depth_main,2025-09-16 00:30:00,2025-09-16 01:30:00,2025-09-16 01:45:00,1.25,1.0,0.25,-8.2782,-6.7794,1.4988,3.7579,1.4988,0.0,False,
North,depth,N_depth_main,2026-03-08 21:45:00,2026-03-09 00:45:00,2026-03-09 00:45:00,3.0,1.0,0.5,-9.0044,-7.9874,1.017,1.373,0.9544,0.0,False,
North,velocity,North_velocity,2025-07-31 07:30:00,2025-07-31 08:00:00,2025-07-31 09:15:00,1.75,0.5,1.25,0.1017,4.2503,4.1486,13.2991,8.2972,0.0,False,
North,velocity,North_velocity,2025-08-02 07:45:00,2025-08-02 08:00:00,2025-08-02 09:45:00,2.0,0.25,1.75,1.7366,4.2345,2.4979,9.9915,9.9915,0.0,False,
North,velocity,North_velocity,2025-08-07 12:00:00,2025-08-07 12:15:00,2025-08-07 18:30:00,6.5,0.25,6.25,4.7838,4.9004,0.1167,18.4721,0.4666,0.0,False,
North,velocity,North_velocity,2025-08-09 07:45:00,2025-08-09 08:15:00,2025-08-09 19:45:00,12.0,0.5,0.5,0.7996,4.6084,3.8088,11.5302,7.6175,0.0,False,
North,velocity,North_velocity,2025-08-13 09:45:00,2025-08-13 10:30:00,2025-08-13 12:00:00,2.25,0.75,1.5,2.3745,4.0649,1.6903,6.7692,2.2538,0.0,False,
North,velocity,North_velocity,2025-08-19 06:15:00,2025-08-19 07:15:00,2025-08-19 07:30:00,1.25,1.0,0.25,2.4815,4.1363,1.6548,9.2631,1.6548,0.0,False,
North,velocity,North_velocity,2025-08-20 13:00:00,2025-08-20 13:15:00,2025-08-20 19:45:00,6.75,0.25,6.5,3.8727,4.1631,0.2903,14.8279,1.1614,0.0,False,
North,velocity,North_velocity,2025-08-21 06:15:00,2025-08-21 17:15:00,2025-08-21 19:45:00,13.5,0.75,7.0,3.7831,4.5721,0.789,3.6982,0.9864,0.0,False,
North,velocity,North_velocity,2025-08-22 06:15:00,2025-08-22 07:45:00,2025-08-22 14:15:00,8.0,1.5,6.5,3.4483,4.8454,1.3971,3.6732,0.9314,0.0,False,
North,velocity,North_velocity,2025-08-28 16:00:00,2025-08-28 17:00:00,2025-08-28 17:00:00,1.0,1.0,0.0,3.9513,4.4476,0.4963,3.6692,0.4963,0.0,False,
North,velocity,North_velocity,2025-09-06 13:15:00,2025-09-06 13:30:00,2025-09-06 15:15:00,2.0,0.25,1.75,4.5295,4.5812,0.0517,17.4552,0.2068,0.0,False,
