timestamp,method,reason,site,parameter,regime
2025-07-28 15:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-28 16:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-28 16:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-28 16:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-28 17:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-28 17:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 17:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 18:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 18:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 23:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 23:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-29 23:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 00:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 00:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 01:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 01:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 02:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 02:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 02:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 03:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 03:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 03:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 05:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 05:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 05:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 05:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 10:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 11:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 11:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 11:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 11:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 12:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 12:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 12:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 17:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 18:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 18:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 18:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 18:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 19:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 19:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 19:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 20:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-30 20:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 19:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 19:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 19:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 20:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 22:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 23:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 23:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 23:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-07-31 23:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 06:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 06:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 06:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 06:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 08:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 08:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 08:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 09:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 09:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 09:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 13:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 13:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 14:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 14:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-01 14:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 21:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 21:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 21:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 22:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 22:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 22:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 22:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 23:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-02 23:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 04:30:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 04:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-20 05:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 14:45:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 15:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 15:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 16:00:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
2025-08-26 16:15:00,linear,short_gap_within_threshold,Kamand,depth,K_depth_A
