source_file,line_no,issue_type,raw_snippet
depth_measurements_K.csv,1009,merged_line_split_and_recovered,"2025-09-02 17:45:54,10.103817815577285,10.410243175210915,10.366691569654156,10.311160916535343,10.451538927544785,10.363796486330832,10.4499699440344"
depth_measurements_K.csv,1072,merged_line_split_and_recovered,"2025-09-03 12:59:05,10.809392343831854,10.72090643163879,10.802954837320577,11.07643535214992,10.78154694374805,10.900638916356545,10.945812109656366,"
depth_measurements_K.csv,1084,merged_line_split_and_recovered,"2025-09-03 20:58:41,11.585614717624187,11.614673759122994,11.522999872803355,11.467837331072541,11.727893494813962,11.454420631040884,11.4740386511009"
depth_measurements_K.csv,1160,merged_line_split_and_recovered,"2025-09-04 18:57:36,11.424761229796978,11.564975841180376,11.365371512830327,11.373874054489393,11.501230306687857,11.298200627473735,2025-09-05 00:09"
depth_measurements_K.csv,1198,merged_line_split_and_recovered,"2025-09-05 12:20:20,11.96543520262775,12.1532588188592025-09-06 00:10:51,12.282292176507035,12.164637830716506,12.219238899202534,12.3023080836633,12."
depth_measurements_K.csv,1236,merged_line_split_and_recovered,"2025-09-06 11:29:13,12.399009866332234,12.340379636862025-09-07 00:22:11,12.286955416212091,12.322946301789091,12.399571012324039,12.325897470403373,1"
depth_measurements_K.csv,1261,merged_line_split_and_recovered,"2025-09-07 18:48:39,12.538415841230917,12.501019740664418,12.50698172186652,12.487837560117011,12.382571301899459,12.497896786824665,12.36133096555647"
depth_measurements_K.csv,1324,merged_line_split_and_recovered,"2025-09-08 14:06:54,12.540029424559533,12.796988970722738,12.752592359086513,12.66352257383192,12.586859017195929,12.581922580258249,12.67987675346092"
depth_measurements_N (1).csv,-1,14024_exact_duplicate_rows_removed,
velocity_K.csv,1,corrupted_header_row_recovered,"timestamp,2025-06-28 16:27:50,2.0558076,1.9463406,1.5467066,1.2085502,1.2789028,1.5878595,1.7769485,1.6857847,2.0410569,"
velocity_K.csv,2554,merged_line_split_and_recovered,"2025-09-05 11:32:04,8.910829,10.033387,12025-09-08 19:00:55,0.16574999999999998,0.16574999999999998,0.16574999999999998,0.16574999999999998,0.16574999"
velocity_N.csv,2428,merged_line_split_and_recovered,"2025-08-22 15:31:54,3.8730652,3.9559388,4.344161,4.457596,4.578591,3.9159622,4.0338817,3.606717,4.531792,4.57736642025-08-23 06:01:43,0.35112113,0.212"
