site,parameter,regime,month,n,mean,median,min,max,std
Kamand,depth,K_depth_A,2025-07,98,1.1305,0.9345,0.3196,2.3693,0.5476
Kamand,depth,K_depth_A,2025-08,869,1.3742,1.1368,0.6634,3.7183,0.6985
Kamand,depth,K_depth_A,2025-09,712,1.2507,0.9579,0.5019,3.3683,0.6862
Kamand,velocity,Kamand_velocity,2025-07,1575,1.8731,1.5423,0.1657,12.7379,1.2896
Kamand,velocity,Kamand_velocity,2025-08,1027,4.4593,3.4858,0.1657,15.9773,3.4027
Kamand,velocity,Kamand_velocity,2025-09,305,4.6438,4.3338,0.1657,15.3099,2.6652
Kamand,velocity,Kamand_velocity,2025-10,360,1.6248,1.7406,0.1657,10.0577,0.918
Kamand,velocity,Kamand_velocity,2025-11,18,0.5803,0.3066,0.1657,1.5805,0.5228
North,depth,N_depth_main,2025-01,79,-8.7535,-8.8559,-9.2676,-7.8541,0.3242
North,depth,N_depth_main,2025-02,77,-9.3571,-9.3674,-9.4363,-9.2266,0.0442
North,depth,N_depth_main,2025-03,52,-9.3112,-9.3262,-9.4389,-9.0191,0.088
North,depth,N_depth_main,2025-06,1117,-9.6405,-9.6789,-10.1473,-8.7252,0.1189
North,depth,N_depth_main,2025-07,1204,-9.2089,-9.325,-9.5154,-7.4342,0.3091
North,depth,N_depth_main,2025-08,1395,-8.0629,-7.9056,-8.9985,-6.6531,0.4457
North,depth,N_depth_main,2025-09,1951,-8.253,-8.2981,-8.5081,-6.7794,0.1681
North,depth,N_depth_main,2025-10,2259,-8.4982,-8.4986,-8.6315,-8.2192,0.0438
North,depth,N_depth_main,2025-11,2486,-8.5585,-8.5575,-8.6626,-8.4658,0.0283
North,depth,N_depth_main,2025-12,1892,-8.5825,-8.5814,-8.6821,-8.4898,0.0267
North,depth,N_depth_main,2026-01,2117,-8.5955,-8.5917,-8.9634,-8.4297,0.0436
North,depth,N_depth_main,2026-02,1512,-8.6436,-8.6162,-8.9518,-8.5163,0.0819
North,depth,N_depth_main,2026-03,2409,-9.4155,-9.4321,-9.9178,-7.4431,0.3234
North,depth,N_depth_main,2026-04,422,-9.0315,-9.2073,-9.4362,-7.4342,0.3741
North,velocity,North_velocity,2025-06,368,1.6156,1.5503,1.0145,3.0744,0.3536
North,velocity,North_velocity,2025-07,1370,2.5979,2.5113,0.0933,4.8766,0.8087
North,velocity,North_velocity,2025-08,1288,3.535,3.5463,0.1089,4.9004,0.8957
North,velocity,North_velocity,2025-09,502,3.2087,3.174,0.1006,5.0078,0.9835
North,velocity,North_velocity,2025-10,571,1.9412,1.975,0.1657,4.1196,0.6844
North,velocity,North_velocity,2025-11,802,1.2374,1.2496,0.1257,1.8414,0.3201
North,velocity,North_velocity,2025-12,571,1.0117,1.0641,0.1657,1.307,0.2322
North,velocity,North_velocity,2026-01,398,0.8512,0.9512,0.1066,1.5969,0.3315
North,velocity,North_velocity,2026-02,56,0.93,0.9712,0.1657,1.2818,0.2391
North,velocity,North_velocity,2026-05,636,0.8064,0.8064,0.1283,1.8115,0.1936
North,velocity,North_velocity,2026-06,11,0.8297,0.8424,0.6679,0.9135,0.0663
