site,parameter,regime,percentile,threshold_level,n_above,pct_time_above
Kamand,depth,K_depth_A,50,1.0793,840,50.03
Kamand,depth,K_depth_A,75,1.5731,420,25.01
Kamand,depth,K_depth_A,90,2.4355,168,10.01
Kamand,depth,K_depth_A,95,2.9447,84,5.0
Kamand,depth,K_depth_A,99,3.2619,17,1.01
Kamand,velocity,Kamand_velocity,50,1.6427,1643,50.0
Kamand,velocity,Kamand_velocity,75,3.6634,822,25.02
Kamand,velocity,Kamand_velocity,90,7.5224,329,10.01
Kamand,velocity,Kamand_velocity,95,8.0846,165,5.02
Kamand,velocity,Kamand_velocity,99,11.4325,33,1.0
North,depth,N_depth_main,50,-8.5837,9486,50.0
North,depth,N_depth_main,75,-8.5167,4743,25.0
North,depth,N_depth_main,90,-8.2632,1898,10.0
North,depth,N_depth_main,95,-7.9427,949,5.0
North,depth,N_depth_main,99,-7.7001,190,1.0
North,velocity,North_velocity,50,1.8708,3287,50.01
North,velocity,North_velocity,75,3.0906,1644,25.01
North,velocity,North_velocity,90,3.9673,658,10.01
North,velocity,North_velocity,95,4.3252,329,5.01
North,velocity,North_velocity,99,4.6208,119,1.81
